kripp.alpha_1;kripp.alpha_2;kripp.alpha_3;kripp.alpha_4;kripp.alpha_5
5;4;4;4;4
4;4;4;5;3
3;4;4;5;5
4;4;4;4;4
4;3;5;5;3
3;3;3;3;3
4;5;4;4;4
3;3;5;3;3
4;3;4;3;3
5;3;4;4;3
5;3;4;5;3
5;3;5;5;3
5;3;4;5;3
3;3;3;4;3
4;3;3;4;3
5;4;4;4;4
3;4;4;4;4
5;4;4;5;3
3;3;3;4;3
3;4;4;3;4
4;4;3;4;3
4;4;4;4;3
3;3;3;4;3
5;4;4;3;4
3;4;4;5;5
5;5;3;4;3
4;3;5;5;3
4;4;4;5;4
4;4;3;4;4
4;3;3;3;3
5;4;4;4;5
4;3;3;3;3
5;4;4;5;4
4;3;3;3;3
5;3;3;3;3
5;4;5;5;3
5;3;3;3;3
3;3;3;3;3
4;4;3;4;5
5;4;4;3;4
4;4;5;4;4
3;3;3;3;3
4;3;4;4;3
4;4;5;4;4
4;4;4;3;4
3;4;5;5;4
5;5;5;3;4
5;5;4;5;3
3;3;4;5;4
4;4;4;4;4
5;4;4;4;4
5;4;3;4;3
5;4;4;4;5
5;5;4;3;4
4;4;5;5;4
5;4;5;4;4
5;4;5;4;5
4;5;5;4;5
4;5;5;4;5
4;5;3;5;5
3;3;3;3;3
3;3;3;3;3
3;3;3;3;3
3;3;3;3;3
4;5;3;4;5
5;4;3;4;5
3;3;3;3;3
3;3;3;3;3
3;3;4;3;3
5;3;4;4;5
4;4;5;4;4
5;4;4;4;5
5;4;4;4;5
5;5;4;3;4
